algoritmo,tiempo,memoria
MedicionBuscarTrie,5700,69
MedicionBuscarTrieHashMap,11700,83
algoritmo,tiempo,memoria
MedicionBuscarTrie,5300,69
MedicionBuscarTrieHashMap,8600,83
algoritmo,tiempo,memoria
MedicionBuscarTrie,4700,69
MedicionBuscarTrieHashMap,12400,83
algoritmo,tiempo,memoria
MedicionBuscarTrie,6600,69
MedicionBuscarTrieHashMap,8900,83
algoritmo,tiempo,memoria
MedicionBuscarTrie,7300,69
MedicionBuscarTrieHashMap,12300,83
algoritmo,tiempo,memoria
MedicionBuscarTrie,5100,69
MedicionBuscarTrieHashMap,8400,83
algoritmo,tiempo,memoria
MedicionBuscarTrie,6100,69
MedicionBuscarTrieHashMap,9300,83
algoritmo,tiempo,memoria
MedicionBuscarTrie,6227600,10450611
MedicionBuscarTrieHashMap,13932800,9206663
algoritmo,tiempo,memoria
MedicionBuscarTrie,5474900,10450611
MedicionBuscarTrieHashMap,12975900,9206663
